count,reg,ven_time,dist,ven_z,ven_rho,ven_phi,new_reg
0,0,151.04016449174077,0.0868583289834815,0.777936,0.395249,-2.621643,0
1,3,124.13879591755338,0.0918769918351067,0.69048,0.322421,-2.625176,6
3,7,143.35338229647178,0.0477527645929435,0.769382,1.0,1.570796,4
4,9,127.56123134379146,0.0402264626875829,0.95126,0.288539,0.124951,3
5,7,160.1475455398426,0.1152490910796852,0.666926,0.662313,0.204849,9
6,4,145.19232391652656,0.0269846478330531,0.933874,0.298306,-2.366936,0
7,1,160.8254356636894,0.0765888713273787,0.882654,0.189266,2.75298,5
8,3,143.51057464616483,0.0797131492923296,0.60034,0.204097,-2.054862,7
9,5,132.3372215377575,0.0485044430755149,0.916915,0.890022,3.092376,5
11,3,153.07702514539469,0.0474800502907893,0.975807,0.53931,-0.493704,2
12,2,94.16767771493124,0.0931713554298624,0.881016,0.446626,-2.127689,1
13,5,136.47166786865395,0.0670993357373078,0.830351,0.13147,0.923634,3
16,0,171.78507207883865,0.1003981441576772,0.80071,0.0,-1.717262,1
18,9,158.03852084065497,0.0831110416813099,0.817161,0.406798,2.67363,5
19,7,130.60756250640608,0.0547711250128121,0.832589,0.934272,1.538262,4
20,4,113.01462643526575,0.0914528528705315,0.992702,0.457851,2.481908,5
21,4,162.8867683397932,0.0885775366795863,0.640644,0.624017,0.046067,9
23,9,146.35512544040893,0.0612502508808178,0.828847,0.885581,-2.504835,0
26,3,103.65606840154216,0.0323771368030843,0.990906,0.881875,0.028686,3
28,2,153.67064438657656,0.0482792887731531,0.753517,0.254338,-2.372316,0
30,0,167.34004455985348,0.0974400891197069,0.843946,0.425865,0.0,3
35,2,159.07689705446,0.05162579410892,0.863702,0.277456,-2.146626,1
38,0,129.77705021555064,0.0657687004311012,0.920082,0.75818,-2.358789,0
41,0,135.85010530551315,0.1053668106110262,0.677818,0.092305,-2.492747,6
42,7,132.48435138076857,0.0477587027615371,0.744743,0.276581,-0.366115,2
45,6,141.64312483866166,0.0700102496773233,0.980767,0.168983,2.457349,5
46,6,141.02638666066926,0.0155067733213385,0.950162,0.592396,-2.867035,0
47,5,174.64434187792563,0.0866926837558513,0.979826,0.575838,0.687299,3
49,0,131.19174259734902,0.064074285194698,0.992015,0.057936,1.887405,4
51,1,137.99268198874563,0.1065707639774912,0.665483,0.641702,-2.838976,6
53,9,141.2026906878403,0.0767813813756805,0.584919,0.635868,2.804955,11
55,6,174.9207372831206,0.1194034745662412,0.654652,0.470291,2.383692,11
57,0,141.32415153282813,0.1053241030656562,0.560893,0.088819,-2.610162,6
58,6,122.5312815832046,0.0908587631664092,0.67569,0.086035,-0.100968,8
59,5,141.5637920182518,0.0494755840365036,0.970107,1.0,1.210775,4
62,6,170.93234594056065,0.0807726918811213,0.74612,0.104646,1.674248,4
